prompt,actual_answer,response,most_similar_answer,is_most_similar_actual,question,cosine_similarity_with_actual_answer,bleu_score
,"Inflammatory carcinoma is a subtype of invasive ductal carcinoma, which is a type of breast cancer. Inflammatory carcinoma is characterized by cancer cells that block lymphatic vessels in the skin of the breast, causing the breast to become red, swollen, and warm to the touch. This type of cancer is called ""inflammatory"" because it can mimic the symptoms of an inflammatory response, such as an infection. Inflammatory carcinoma is often more aggressive than other types of breast cancer, and it may be more likely to spread to other parts of the body. Treatment for inflammatory carcinoma typically involves a combination of surgery, chemotherapy, and radiation therapy, as well as targeted therapies that are designed to attack specific proteins on the surface of cancer cells."," Inflammatory carcinoma is a type of invasive ductal carcinoma that presents with inflammatory symptoms, such as redness and warmth. It is defined by its aggressive nature and high risk for recurrence and metastasis..","Inflammatory carcinoma is a subtype of invasive ductal carcinoma, which is a type of breast cancer. Inflammatory carcinoma is characterized by cancer cells that block lymphatic vessels in the skin of the breast, causing the breast to become red, swollen, and warm to the touch. This type of cancer is called ""inflammatory"" because it can mimic the symptoms of an inflammatory response, such as an infection. Inflammatory carcinoma is often more aggressive than other types of breast cancer, and it may be more likely to spread to other parts of the body. Treatment for inflammatory carcinoma typically involves a combination of surgery, chemotherapy, and radiation therapy, as well as targeted therapies that are designed to attack specific proteins on the surface of cancer cells.",True,What is inflammatory carcinoma and what are its defining characteristics?,0.7568640710542287,0.06019371675111393
,"Campylobacter jejuni is a type of curved bacteria that is commonly associated with food poisoning. In addition to causing gastrointestinal symptoms, Campylobacter jejuni can also lead to reactive arthritis, which is a type of spondyloarthropathy that affects the joints, especially in the lower extremities."," Campylobacter jejuni is a type of bacteria, and it can cause the condition known as gastroenteritis..","Campylobacter jejuni is a curved bacteria that causes inflammatory diarrhea. The diarrhea is initially watery and ill-smelling, and can progress to bloody diarrhea.",False,"What is Campylobacter jejuni, and what is the condition that it can cause?",0.8945226878835977,0.10422323780099492
,Petechiae is a skin finding that is often associated with thrombocytopenia and/or decreased platelet function.," Oral and/or nasal bleeding is a commonly observed skin manifestation in individuals with thrombocytopenia and/or decreased platelet function. This is due to impaired platelet function, which is important for hemostasis. Specifically, platelets help to form clots at the site of injury to stop bleeding..","Platelet dysfunction refers to conditions in which the platelets do not function properly, leading to bleeding problems. Qualitative platelet disorders specifically refer to conditions in which the platelets themselves are abnormal, rather than there being a problem with the number of platelets. In these cases, bleeding tends to occur in areas of the body that have a high concentration of small blood vessels, such as the skin and mucous membranes. This can result in symptoms such as easy bruising, petechiae (small red or purple spots on the skin), and prolonged bleeding from cuts or wounds. Some examples of qualitative platelet disorders include Bernard-Soulier syndrome, Glanzmann thrombasthenia, and storage pool disorders.",False,What skin manifestation is commonly observed in individuals with thrombocytopenia and/or decreased platelet function?,0.523738990282528,0.05509055579175102
,"The enzyme that converts acetaldehyde to acetate is acetaldehyde dehydrogenase. Acetaldehyde is a toxic byproduct of alcohol metabolism that can cause a variety of unpleasant symptoms, including headache, nausea, and facial flushing. Acetaldehyde dehydrogenase is an enzyme that plays a key role in the breakdown of acetaldehyde, converting it to acetate, which is then further metabolized and eliminated from the body. However, some individuals have a genetic variation that leads to reduced activity of acetaldehyde dehydrogenase, which can result in a buildup of acetaldehyde and an increased risk of alcohol-related health problems.", Acetaldehyde is converted to acetate via the enzyme alcohol dehydrogenase..,"The enzyme that converts acetaldehyde to acetate is acetaldehyde dehydrogenase. Acetaldehyde is a toxic byproduct of alcohol metabolism that can cause a variety of unpleasant symptoms, including headache, nausea, and facial flushing. Acetaldehyde dehydrogenase is an enzyme that plays a key role in the breakdown of acetaldehyde, converting it to acetate, which is then further metabolized and eliminated from the body. However, some individuals have a genetic variation that leads to reduced activity of acetaldehyde dehydrogenase, which can result in a buildup of acetaldehyde and an increased risk of alcohol-related health problems.",True,What is the enzyme that converts acetaldehyde to acetate?,0.7868634149934803,0.00623146705212106
,"If a patient is experiencing contractions but is not progressing in labor, it is recommended to use an intrauterine pressure catheter (IUPC) to monitor the strength of contractions."," The recommended course of action if a patient is experiencing contractions but is not progressing in labor is to administer oxytocin (Pitocin). Oxytocin is a medication that stimulates uterine contractions, and it may be administered to patients who are experiencing inadequate or ineffective uterine contractions. Additionally, other interventions such as amniotomy and cervical ripening may also be indicated for patients who are not progressing in labor..",The treatment options for prolonged or arrested active phase of labor include oxytocin to stimulate contractions or C-section to deliver the baby surgically.,False,What is the recommended course of action if a patient is experiencing contractions but is not progressing in labor?,0.5855663790986958,0.10467414675952827
,"Non-specific symptoms of stimulant withdrawal (stimulant or depressant) include post-use ""crash"", depression, lethargy, and hypersomnia/weight gain."," Some non-specific symptoms of stimulant withdrawal (stimulant or depressant) include fatigue, difficulty concentrating, and depressed mood..","Non-specific symptoms of stimulant withdrawal (stimulant or depressant) include post-use ""crash"", depression, lethargy, and hypersomnia/weight gain.",True,What are some non-specific symptoms of stimulant withdrawal (stimulant or depressant)?,0.9537156176874988,0.4110433074789492
,Daptomycin is a lipopeptide antibiotic that is used to treat infections caused by Multi Drug Resistant Gram Positive Cocci., Daptomycin is used to treat skin and soft tissue infections..,Daptomycin is a lipopeptide antibiotic that is used to treat infections caused by Multi Drug Resistant Gram Positive Cocci.,True,What type of infections is Daptomycin used to treat?,0.8281879554231006,0.14253911354181859
,African-American infants are the demographic that is most commonly associated with umbilical hernia., Umbilical hernia is frequently linked to the infantile and geriatric demographics..,African-American infants are the demographic that is most commonly associated with umbilical hernia.,True,Which demographic is frequently linked to umbilical hernia?,0.8000419996989213,0.018798317647335087
,"The internal iliac lymph node cluster is responsible for draining the lymphatic vessels from the bladder. The internal iliac lymph nodes are located in the pelvis, near the internal iliac artery. The lymphatic vessels from the bladder drain into the internal iliac lymphatic vessels, which then drain into the internal iliac lymph nodes. The internal iliac lymph nodes are an important site for the detection and spread of cancer cells from the bladder.", The lymph node cluster responsible for draining the lymphatic vessels from the bladder is the external iliac lymph node..,"The internal iliac lymph node cluster is responsible for draining the lymphatic vessels from the bladder. The internal iliac lymph nodes are located in the pelvis, near the internal iliac artery. The lymphatic vessels from the bladder drain into the internal iliac lymphatic vessels, which then drain into the internal iliac lymph nodes. The internal iliac lymph nodes are an important site for the detection and spread of cancer cells from the bladder.",True,What is the name of the lymph node cluster responsible for draining the lymphatic vessels from the bladder?,0.9066462278692664,0.12936069456724827
,Neisseria gonorrhoeae is the cause of sterile urethritis that shows up on staining as gram-negative diplococci., The cause of sterile urethritis that appears as gram-negative diplococci on staining is Neisseria gonorrhoeae..,Neisseria gonorrhoeae is the cause of sterile urethritis that shows up on staining as gram-negative diplococci.,True,What is the cause of sterile urethritis that appears as gram-negative diplococci on staining?,0.9832781276269501,0.34740317390504205
