prompt,actual_answer,response,most_similar_answer,is_most_similar_actual,question,cosine_similarity_with_actual_answer,bleu_score
,"Inflammatory carcinoma is a subtype of invasive ductal carcinoma, which is a type of breast cancer. Inflammatory carcinoma is characterized by cancer cells that block lymphatic vessels in the skin of the breast, causing the breast to become red, swollen, and warm to the touch. This type of cancer is called ""inflammatory"" because it can mimic the symptoms of an inflammatory response, such as an infection. Inflammatory carcinoma is often more aggressive than other types of breast cancer, and it may be more likely to spread to other parts of the body. Treatment for inflammatory carcinoma typically involves a combination of surgery, chemotherapy, and radiation therapy, as well as targeted therapies that are designed to attack specific proteins on the surface of cancer cells.",Was ist inflammatory carcinoma and what are itsdefining characteristics? ->,"Inflammatory carcinoma is a subtype of invasive ductal carcinoma, which is a type of breast cancer. Inflammatory carcinoma is characterized by cancer cells that block lymphatic vessels in the skin of the breast, causing the breast to become red, swollen, and warm to the touch. This type of cancer is called ""inflammatory"" because it can mimic the symptoms of an inflammatory response, such as an infection. Inflammatory carcinoma is often more aggressive than other types of breast cancer, and it may be more likely to spread to other parts of the body. Treatment for inflammatory carcinoma typically involves a combination of surgery, chemotherapy, and radiation therapy, as well as targeted therapies that are designed to attack specific proteins on the surface of cancer cells.",True,What is inflammatory carcinoma and what are its defining characteristics?,0.5873874477889567,0.0035735691494410042
,"Campylobacter jejuni is a type of curved bacteria that is commonly associated with food poisoning. In addition to causing gastrointestinal symptoms, Campylobacter jejuni can also lead to reactive arthritis, which is a type of spondyloarthropathy that affects the joints, especially in the lower extremities.","-> Campylobacter jejuni, and what is it? ->","Campylobacter jejuni is a curved bacteria that causes inflammatory diarrhea. The diarrhea is initially watery and ill-smelling, and can progress to bloody diarrhea.",False,"What is Campylobacter jejuni, and what is the condition that it can cause?",0.8221636222413599,0.00995793413371623
,Petechiae is a skin finding that is often associated with thrombocytopenia and/or decreased platelet function.,Welche skin manifestation is commonly observed in individuals with thrombocytopenia and/or decreased platelet function? ->,Petechiae is a skin finding that is often associated with thrombocytopenia and/or decreased platelet function.,True,What skin manifestation is commonly observed in individuals with thrombocytopenia and/or decreased platelet function?,0.6878467887258437,0.014628063653657535
,"The enzyme that converts acetaldehyde to acetate is acetaldehyde dehydrogenase. Acetaldehyde is a toxic byproduct of alcohol metabolism that can cause a variety of unpleasant symptoms, including headache, nausea, and facial flushing. Acetaldehyde dehydrogenase is an enzyme that plays a key role in the breakdown of acetaldehyde, converting it to acetate, which is then further metabolized and eliminated from the body. However, some individuals have a genetic variation that leads to reduced activity of acetaldehyde dehydrogenase, which can result in a buildup of acetaldehyde and an increased risk of alcohol-related health problems.","Was ist die Enzyme, die die acetaldehyde in acetate converts? ->","The enzyme that converts acetaldehyde to acetate is acetaldehyde dehydrogenase. Acetaldehyde is a toxic byproduct of alcohol metabolism that can cause a variety of unpleasant symptoms, including headache, nausea, and facial flushing. Acetaldehyde dehydrogenase is an enzyme that plays a key role in the breakdown of acetaldehyde, converting it to acetate, which is then further metabolized and eliminated from the body. However, some individuals have a genetic variation that leads to reduced activity of acetaldehyde dehydrogenase, which can result in a buildup of acetaldehyde and an increased risk of alcohol-related health problems.",True,What is the enzyme that converts acetaldehyde to acetate?,0.6751856743295236,0.002477851671914089
,"If a patient is experiencing contractions but is not progressing in labor, it is recommended to use an intrauterine pressure catheter (IUPC) to monitor the strength of contractions.","Was ist die empfohlene Vorgehensweise, wenn ein Patient zwar eine Kontraktion erfährt, aber nicht in der Arbeit voranschreitet? ->","If a patient is experiencing contractions but is not progressing in labor, it is recommended to use an intrauterine pressure catheter (IUPC) to monitor the strength of contractions.",True,What is the recommended course of action if a patient is experiencing contractions but is not progressing in labor?,0.2405033604122318,0.005834347180338519
,"Non-specific symptoms of stimulant withdrawal (stimulant or depressant) include post-use ""crash"", depression, lethargy, and hypersomnia/weight gain.",Welches sind einige nicht-specific symptoms of stimulant withdrawal (stimulant or depressant)? ->,"Non-specific symptoms of stimulant withdrawal (stimulant or depressant) include post-use ""crash"", depression, lethargy, and hypersomnia/weight gain.",True,What are some non-specific symptoms of stimulant withdrawal (stimulant or depressant)?,0.7893425732742726,0.01851974703879588
,Daptomycin is a lipopeptide antibiotic that is used to treat infections caused by Multi Drug Resistant Gram Positive Cocci.,Welche types d infections is Daptomycin used to treat? ->,Daptomycin is a lipopeptide antibiotic that is used to treat infections caused by Multi Drug Resistant Gram Positive Cocci.,True,What type of infections is Daptomycin used to treat?,0.7583706354976909,0.013618796864073041
,African-American infants are the demographic that is most commonly associated with umbilical hernia.,Welche Dem Demografie ist häufig bedingtbedingtbedingtbedingtbedingtbedingt abhängig demographic demographic? ->,African-American infants are the demographic that is most commonly associated with umbilical hernia.,True,Which demographic is frequently linked to umbilical hernia?,0.16115209381601905,0.0
,"The internal iliac lymph node cluster is responsible for draining the lymphatic vessels from the bladder. The internal iliac lymph nodes are located in the pelvis, near the internal iliac artery. The lymphatic vessels from the bladder drain into the internal iliac lymphatic vessels, which then drain into the internal iliac lymph nodes. The internal iliac lymph nodes are an important site for the detection and spread of cancer cells from the bladder.",What is the name of the lymph node cluster responsible for draining the lymphatic vessels from the bladder? ->,"The internal iliac lymph node cluster is responsible for draining the lymphatic vessels from the bladder. The internal iliac lymph nodes are located in the pelvis, near the internal iliac artery. The lymphatic vessels from the bladder drain into the internal iliac lymphatic vessels, which then drain into the internal iliac lymph nodes. The internal iliac lymph nodes are an important site for the detection and spread of cancer cells from the bladder.",True,What is the name of the lymph node cluster responsible for draining the lymphatic vessels from the bladder?,0.7681602683045174,0.014513544632040484
,Neisseria gonorrhoeae is the cause of sterile urethritis that shows up on staining as gram-negative diplococci.,What is the cause of sterile urethritis that appears as gram-negative diplococci on staining? ->,Neisseria gonorrhoeae is the cause of sterile urethritis that shows up on staining as gram-negative diplococci.,True,What is the cause of sterile urethritis that appears as gram-negative diplococci on staining?,0.8198876736603508,0.30958456748997504
